                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.119,                 2.2679,                 1.2324,                0.41748,                  0.581,                0.49617,                0.33394,                 1.0556,                 1.9405,                 1.1698,              0.0002993,              0.0002993,              0.0002993
                      2,                  1.084,                 1.4688,                 1.2049,                0.46686,                0.52056,                0.49911,                0.35212,                 1.1142,                 1.9724,                 1.2823,             0.00059634,             0.00059634,             0.00059634
                      3,                 1.1218,                 1.4195,                 1.2297,                0.49578,                0.55845,                0.51432,                0.33037,                 1.2141,                 1.7029,                 1.2942,             0.00088738,             0.00088738,             0.00088738
                      4,                 1.1599,                 1.3689,                 1.2492,                0.50323,                0.55455,                0.52598,                0.34844,                 1.1657,                  1.556,                 1.2542,               0.000882,               0.000882,               0.000882
                      5,                  1.102,                 1.3158,                 1.2072,                0.53006,                0.57709,                0.53915,                0.36415,                 1.1675,                 1.5278,                 1.2884,               0.000882,               0.000882,               0.000882
                      6,                 1.0889,                 1.2515,                 1.2036,                0.50345,                0.62073,                0.56485,                0.38893,                 1.0841,                 1.3461,                 1.2163,               0.000873,               0.000873,               0.000873
                      7,                 1.0741,                 1.1718,                 1.1881,                0.57551,                0.60515,                0.59475,                0.38871,                  1.134,                 1.3053,                 1.2355,               0.000864,               0.000864,               0.000864
                      8,                 1.0506,                 1.1614,                 1.1755,                 0.6183,                0.62712,                0.65705,                 0.4713,                  1.041,                 1.2609,                 1.1864,             0.00085501,             0.00085501,             0.00085501
                      9,                 1.0078,                 1.1117,                 1.1554,                0.57998,                0.66115,                0.63242,                 0.4338,                 1.0733,                 1.2273,                  1.187,             0.00084601,             0.00084601,             0.00084601
                     10,                 1.0167,                 1.0972,                 1.1632,                0.61906,                0.68001,                0.66994,                0.46765,                 1.0456,                 1.1921,                 1.1714,             0.00083701,             0.00083701,             0.00083701
                     11,                0.95234,                 1.0553,                 1.1328,                0.62813,                0.63028,                0.64477,                0.45545,                 1.0341,                 1.2061,                 1.1792,             0.00082801,             0.00082801,             0.00082801
