                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1169,                 2.1849,                 1.2948,                0.48079,                0.53414,                0.47907,                0.31155,                 1.1381,                 2.4131,                 1.3821,             0.00030025,             0.00030025,             0.00030025
                      2,                 1.1704,                 1.5425,                 1.3192,                0.53198,                0.46682,                0.47128,                0.30629,                 1.2145,                 2.3514,                 1.4223,             0.00059727,             0.00059727,             0.00059727
                      3,                 1.2451,                 1.5505,                 1.3878,                0.41413,                 0.5357,                0.45685,                0.27327,                 1.3077,                 1.9556,                 1.4844,              0.0008883,              0.0008883,              0.0008883
                      4,                 1.2381,                 1.5351,                 1.3651,                0.45888,                0.57553,                 0.5105,                0.32793,                 1.2512,                 1.7134,                  1.403,               0.000882,               0.000882,               0.000882
                      5,                 1.2003,                 1.4076,                 1.3542,                0.43951,                0.61717,                0.53727,                0.34533,                 1.2175,                 1.8057,                 1.3878,               0.000882,               0.000882,               0.000882
                      6,                 1.1743,                 1.3258,                 1.3193,                0.57645,                 0.5708,                0.58652,                0.40114,                 1.1355,                 1.4588,                 1.3215,               0.000873,               0.000873,               0.000873
                      7,                 1.1393,                 1.2968,                 1.3099,                0.53932,                0.59667,                0.56562,                0.37629,                 1.1171,                 1.3779,                 1.2896,               0.000864,               0.000864,               0.000864
                      8,                 1.1183,                 1.2711,                 1.2918,                 0.5651,                0.62378,                0.59704,                0.39941,                  1.142,                 1.3374,                 1.3099,             0.00085501,             0.00085501,             0.00085501
                      9,                 1.0681,                 1.2128,                 1.2576,                0.59086,                0.62138,                0.62763,                 0.4378,                 1.0811,                 1.2573,                 1.3042,             0.00084601,             0.00084601,             0.00084601
                     10,                 1.0408,                 1.1361,                 1.2467,                0.59773,                0.61391,                0.61276,                0.41628,                 1.1444,                 1.3063,                 1.3252,             0.00083701,             0.00083701,             0.00083701
