                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1012,                 2.1312,                 1.2814,                0.47528,                0.48546,                0.46368,                0.29596,                  1.173,                 2.8939,                 1.3259,             0.00030022,             0.00030022,             0.00030022
                      2,                 1.2223,                 1.6383,                 1.3454,                0.42393,                0.51631,                0.45007,                0.27663,                 1.3522,                 2.2251,                 1.4579,             0.00059725,             0.00059725,             0.00059725
                      3,                 1.2466,                 1.5278,                 1.3611,                0.24693,                0.39005,                0.27893,                0.18699,                 1.2976,                 4.1394,                 1.4753,             0.00088828,             0.00088828,             0.00088828
                      4,                 1.2567,                 1.5289,                  1.381,                0.46857,                0.56543,                0.50802,                0.32035,                 1.2911,                 1.6573,                  1.427,               0.000882,               0.000882,               0.000882
                      5,                 1.2218,                   1.41,                 1.3494,                0.52661,                0.59884,                 0.5382,                0.34614,                 1.2236,                 1.4996,                 1.3768,               0.000882,               0.000882,               0.000882
                      6,                 1.1943,                 1.3735,                 1.3288,                0.61701,                0.55717,                0.59389,                0.39674,                 1.2207,                 1.3946,                 1.3504,               0.000873,               0.000873,               0.000873
                      7,                 1.2065,                 1.3779,                 1.3456,                0.54425,                 0.6055,                0.58737,                0.38009,                  1.247,                 1.4848,                 1.3642,               0.000864,               0.000864,               0.000864
                      8,                 1.1252,                 1.2817,                 1.2977,                0.60125,                0.59995,                0.61606,                 0.4148,                 1.1475,                 1.3288,                 1.3385,             0.00085501,             0.00085501,             0.00085501
                      9,                 1.0873,                 1.2222,                 1.2563,                0.59741,                0.62164,                0.64554,                0.43792,                 1.1721,                 1.2806,                 1.3378,             0.00084601,             0.00084601,             0.00084601
                     10,                 1.0675,                 1.1801,                 1.2582,                0.60609,                0.60532,                0.61857,                0.42234,                 1.0851,                 1.2922,                 1.2955,             0.00083701,             0.00083701,             0.00083701
                     11,                 1.0444,                 1.1543,                 1.2407,                0.63797,                0.61563,                0.63971,                0.44043,                 1.1387,                 1.2432,                 1.3175,             0.00082801,             0.00082801,             0.00082801
                     12,                 1.0564,                  1.139,                 1.2474,                0.60883,                0.66798,                0.69369,                0.47814,                 1.0822,                 1.1842,                 1.2872,             0.00081901,             0.00081901,             0.00081901
                     13,                 0.9974,                 1.0869,                 1.2144,                0.61933,                0.64819,                0.67487,                0.46996,                 1.0704,                 1.1416,                 1.2713,             0.00081001,             0.00081001,             0.00081001
                     14,                 0.9955,                 1.0552,                 1.2078,                0.62077,                0.61677,                0.63436,                 0.4442,                 1.0894,                 1.3121,                 1.2761,             0.00080101,             0.00080101,             0.00080101
                     15,                0.97465,                 1.0606,                    1.2,                0.61256,                0.68374,                 0.6852,                0.49369,                 1.0205,                 1.1371,                  1.259,             0.00079201,             0.00079201,             0.00079201
                     16,                0.95664,                 1.0336,                 1.1946,                0.59758,                0.67202,                0.66348,                   0.47,                 1.0206,                 1.1508,                 1.2524,             0.00078301,             0.00078301,             0.00078301
                     17,                0.91695,                0.99996,                 1.1589,                0.68777,                 0.6137,                0.66416,                0.46789,                 1.0499,                 1.1708,                 1.2664,             0.00077401,             0.00077401,             0.00077401
                     18,                0.91948,                 0.9717,                 1.1571,                0.64326,                0.67385,                0.69143,                0.48603,                  1.076,                 1.1585,                 1.2914,             0.00076501,             0.00076501,             0.00076501
                     19,                0.91667,                0.95111,                 1.1669,                0.63905,                0.68084,                0.69901,                0.49381,                 1.0428,                 1.1284,                 1.2781,             0.00075602,             0.00075602,             0.00075602
                     20,                0.90899,                0.95414,                 1.1618,                0.66631,                0.61311,                0.67403,                0.47671,                 1.0558,                 1.1475,                 1.2899,             0.00074702,             0.00074702,             0.00074702
                     21,                0.89114,                0.96107,                 1.1557,                0.67994,                0.65569,                0.67324,                0.46843,                 1.0894,                 1.1331,                 1.3081,             0.00073802,             0.00073802,             0.00073802
                     22,                0.89205,                0.93782,                 1.1569,                0.62409,                0.67359,                0.68267,                0.48207,                 1.0502,                 1.1122,                  1.272,             0.00072902,             0.00072902,             0.00072902
                     23,                0.84279,                0.89747,                 1.1277,                  0.631,                0.67241,                0.67896,                 0.4899,                 1.0137,                 1.1009,                 1.2511,             0.00072002,             0.00072002,             0.00072002
                     24,                0.84318,                0.89225,                 1.1269,                0.66755,                0.66395,                0.68315,                0.48094,                 1.0421,                  1.084,                 1.2912,             0.00071102,             0.00071102,             0.00071102
                     25,                0.81587,                0.84728,                 1.1042,                 0.6584,                0.65294,                0.68403,                0.49131,                  1.011,                 1.0776,                 1.2485,             0.00070202,             0.00070202,             0.00070202
                     26,                0.82404,                0.80647,                 1.1146,                0.60963,                 0.6879,                0.69079,                0.50269,                 1.0267,                 1.1055,                 1.2582,             0.00069302,             0.00069302,             0.00069302
                     27,                0.82275,                0.82546,                 1.1008,                0.67796,                0.64562,                0.70299,                0.51008,                 1.0289,                   1.08,                 1.2871,             0.00068402,             0.00068402,             0.00068402
