                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2626,                 3.3811,                 3.6032,                0.35548,                0.42369,                0.33502,                0.18046,                 1.5772,                 2.5534,                 2.7674,             0.00030114,             0.00030114,             0.00030114
                      2,                 1.5932,                 2.2851,                 2.4444,                0.28794,                0.53881,                0.32447,                0.18654,                 1.4631,                 3.5819,                 2.2876,             0.00059816,             0.00059816,             0.00059816
                      3,                 1.4719,                 2.1073,                 2.1264,                0.47675,                0.55467,                0.51008,                0.31698,                 1.3013,                 2.2394,                  2.085,             0.00088918,             0.00088918,             0.00088918
                      4,                  1.444,                 1.9704,                 2.0381,                0.45905,                0.48955,                0.43974,                0.26933,                 1.3013,                 2.3712,                 1.9899,               0.000882,               0.000882,               0.000882
                      5,                 1.3606,                 1.8647,                 1.9419,                0.41385,                0.58734,                0.47137,                0.29495,                 1.2798,                 2.1732,                 2.0002,               0.000882,               0.000882,               0.000882
                      6,                 1.2852,                 1.7154,                 1.8546,                0.47916,                0.60762,                0.51875,                 0.3401,                  1.219,                 1.8841,                 1.9159,               0.000873,               0.000873,               0.000873
                      7,                 1.2376,                 1.6421,                  1.782,                0.54879,                 0.5756,                  0.548,                0.36117,                 1.2182,                 1.7425,                  1.874,               0.000864,               0.000864,               0.000864
                      8,                 1.2394,                 1.6469,                 1.7932,                0.60379,                0.52962,                 0.5723,                0.38347,                 1.1623,                 1.7679,                 1.8046,             0.00085501,             0.00085501,             0.00085501
                      9,                 1.1584,                 1.5368,                 1.7094,                0.49541,                0.66499,                0.54503,                0.36416,                 1.1106,                 1.7497,                 1.7268,             0.00084601,             0.00084601,             0.00084601
                     10,                 1.1485,                 1.4638,                  1.706,                0.57617,                0.58637,                0.60218,                 0.4183,                 1.1087,                 1.5278,                   1.74,             0.00083701,             0.00083701,             0.00083701
                     11,                 1.1121,                 1.4206,                 1.6518,                0.59117,                0.67488,                0.65507,                0.44064,                 1.1002,                 1.4454,                 1.7413,             0.00082801,             0.00082801,             0.00082801
                     12,                 1.0974,                 1.3678,                 1.6366,                0.59206,                0.63753,                0.61194,                0.42865,                 1.0443,                  1.492,                 1.6925,             0.00081901,             0.00081901,             0.00081901
                     13,                 1.0737,                 1.3764,                 1.6117,                0.62273,                0.67589,                0.66692,                 0.4605,                 1.1199,                 1.3869,                 1.7467,             0.00081001,             0.00081001,             0.00081001
                     14,                 1.0467,                 1.2821,                 1.5776,                0.61961,                0.65914,                0.64778,                0.45104,                  1.071,                  1.377,                 1.7267,             0.00080101,             0.00080101,             0.00080101
                     15,                 1.0364,                 1.2569,                  1.567,                0.62278,                0.67519,                0.66321,                0.46332,                 1.0931,                 1.3362,                 1.7134,             0.00079201,             0.00079201,             0.00079201
                     16,                0.99501,                 1.1985,                 1.5328,                0.61704,                0.65125,                0.64757,                0.45086,                 1.0933,                 1.3335,                  1.744,             0.00078301,             0.00078301,             0.00078301
                     17,                 1.0039,                  1.196,                 1.5311,                0.59112,                0.64945,                0.65646,                0.47126,                 1.0206,                 1.2965,                 1.6375,             0.00077401,             0.00077401,             0.00077401
                     18,                0.98456,                 1.1687,                 1.5148,                0.60965,                0.67484,                0.65317,                0.46107,                 1.0597,                 1.3344,                   1.69,             0.00076501,             0.00076501,             0.00076501
                     19,                0.95226,                 1.1121,                 1.4778,                0.65618,                0.65694,                0.68617,                0.48935,                 1.0344,                 1.2175,                 1.7073,             0.00075602,             0.00075602,             0.00075602
                     20,                0.92396,                 1.1107,                  1.452,                0.63802,                0.61369,                0.63511,                0.45163,                 1.0554,                 1.3034,                 1.6801,             0.00074702,             0.00074702,             0.00074702
                     21,                0.92166,                 1.0998,                 1.4687,                 0.6426,                 0.6465,                0.66872,                0.48078,                 1.0405,                 1.2413,                 1.6767,             0.00073802,             0.00073802,             0.00073802
                     22,                0.94531,                 1.1074,                 1.4654,                 0.6658,                0.68322,                0.70359,                 0.4924,                 1.0698,                 1.1531,                 1.7181,             0.00072902,             0.00072902,             0.00072902
                     23,                0.90822,                 1.0303,                 1.4418,                0.62738,                0.66804,                0.65155,                0.46209,                 1.0632,                 1.2544,                  1.685,             0.00072002,             0.00072002,             0.00072002
                     24,                 0.8923,                 1.0398,                 1.4229,                0.64971,                0.64374,                0.66479,                0.46968,                 1.0785,                 1.2311,                 1.7172,             0.00071102,             0.00071102,             0.00071102
                     25,                0.87623,                 0.9987,                 1.4015,                0.67421,                0.66175,                0.69452,                0.50369,                 1.0066,                 1.1823,                 1.6527,             0.00070202,             0.00070202,             0.00070202
                     26,                0.86749,                0.98815,                  1.413,                0.62741,                0.66482,                0.66513,                0.46848,                 1.0394,                 1.2001,                 1.6752,             0.00069302,             0.00069302,             0.00069302
                     27,                0.83999,                0.96188,                 1.3711,                0.62047,                0.71017,                0.69072,                0.49337,                 1.0296,                  1.185,                  1.688,             0.00068402,             0.00068402,             0.00068402
                     28,                0.84808,                0.95368,                  1.384,                0.63917,                 0.6537,                0.64959,                0.46332,                 1.0247,                   1.22,                 1.6882,             0.00067502,             0.00067502,             0.00067502
                     29,                0.82568,                0.92725,                 1.3523,                 0.6558,                0.67178,                0.68556,                0.49603,                0.99055,                  1.163,                 1.6331,             0.00066602,             0.00066602,             0.00066602
                     30,                0.81854,                0.89172,                 1.3494,                0.68099,                0.69959,                0.71561,                0.51934,                0.99678,                 1.1209,                 1.6589,             0.00065703,             0.00065703,             0.00065703
                     31,                0.81245,                0.91183,                 1.3446,                0.66528,                0.66342,                0.69152,                 0.5061,                0.98508,                 1.1634,                 1.6349,             0.00064803,             0.00064803,             0.00064803
                     32,                0.81914,                0.90302,                  1.345,                0.63786,                0.70311,                0.69853,                0.50185,                 1.0334,                 1.1397,                 1.6889,             0.00063903,             0.00063903,             0.00063903
                     33,                0.78486,                0.85676,                 1.3108,                0.67288,                0.67125,                 0.7009,                0.50657,                 1.0318,                 1.1627,                 1.6854,             0.00063003,             0.00063003,             0.00063003
                     34,                0.79168,                0.89447,                 1.3254,                0.68507,                0.64129,                0.68526,                0.48647,                 1.0341,                 1.1692,                 1.6742,             0.00062103,             0.00062103,             0.00062103
                     35,                0.77362,                0.83872,                  1.304,                0.67352,                0.68088,                0.70369,                0.50857,                 1.0073,                 1.1191,                 1.6492,             0.00061203,             0.00061203,             0.00061203
